index,time,freq,tau
188,2017-01-03 22:47:04.580000,2.1021639146e+08,3.4762668597e-04
189,2017-01-03 22:52:34.934000,2.1021687193e+08,3.9073589017e-04
190,2017-01-03 22:58:05.194000,2.1021711060e+08,3.4684642386e-04
191,2017-01-03 23:29:53.525000,2.1021700744e+08,3.1523057494e-04
192,2017-01-03 23:35:23.753000,2.1021704434e+08,3.4991491346e-04
193,2017-01-03 23:40:54.106000,2.1021707348e+08,3.5749380503e-04
194,2017-01-03 23:46:25.922000,2.1021720755e+08,3.3744747773e-04
195,2017-01-03 23:51:56.179000,2.1021699842e+08,3.9544159061e-04
196,2017-01-03 23:57:26.391000,2.1021678423e+08,4.3368186632e-04
197,2017-01-04 00:02:58.384000,2.1021685767e+08,4.1244203181e-04
198,2017-01-04 00:08:28.695000,2.1021655631e+08,3.9295732057e-04
199,2017-01-04 00:14:01.596000,2.1021727836e+08,3.5396294071e-04
200,2017-01-04 00:19:31.966000,2.1021733103e+08,4.4828174820e-04
201,2017-01-04 00:25:45.251000,2.1021721834e+08,3.6779318266e-04
202,2017-01-04 00:31:15.679000,2.1021677087e+08,4.7434780832e-04
203,2017-01-04 00:36:46.751000,2.1021704728e+08,3.5161707672e-04
204,2017-01-04 00:42:17.130000,2.1021671026e+08,4.3219562650e-04
205,2017-01-04 00:47:47.548000,2.1021692936e+08,4.0398880179e-04
206,2017-01-04 00:53:18.316000,2.1021722041e+08,3.2460530135e-04
207,2017-01-04 00:58:48.666000,2.1021710260e+08,3.5094834136e-04
208,2017-01-04 01:04:19.086000,2.1021682363e+08,3.9138140248e-04
209,2017-01-04 01:09:49.884000,2.1021702355e+08,4.1469744236e-04
210,2017-01-04 01:15:20.286000,2.1021703581e+08,3.3797616313e-04
211,2017-01-04 01:20:50.730000,2.1021672820e+08,3.6083622953e-04
212,2017-01-04 01:26:21.333000,2.1021675584e+08,3.4208942802e-04
213,2017-01-04 01:31:51.901000,2.1021699246e+08,3.6031600783e-04
214,2017-01-04 01:37:22.484000,2.1021716083e+08,3.3595353461e-04
215,2017-01-04 01:42:53.360000,2.1021691043e+08,4.0621609654e-04
216,2017-01-04 01:48:23.799000,2.1021683060e+08,4.2707878308e-04
217,2017-01-04 01:53:54.135000,2.1021681704e+08,3.5438953957e-04
218,2017-01-04 01:59:24.597000,2.1021636317e+08,3.0345912824e-04
219,2017-01-04 02:04:55.092000,2.1021672716e+08,3.7984036446e-04
220,2017-01-04 02:10:25.516000,2.1021694938e+08,3.2538823010e-04
221,2017-01-04 02:15:55.965000,2.1021720782e+08,4.3760868843e-04
222,2017-01-04 02:21:26.481000,2.1021704972e+08,3.8079199152e-04
223,2017-01-04 02:26:56.960000,2.1021661579e+08,4.4761172049e-04
224,2017-01-04 02:32:27.618000,2.1021672144e+08,4.2367809919e-04
225,2017-01-04 02:37:58.015000,2.1021633420e+08,3.6324359905e-04
226,2017-01-04 02:43:28.483000,2.1021677484e+08,4.8384592339e-04
227,2017-01-04 02:48:59.421000,2.1021655990e+08,3.2752116628e-04
228,2017-01-04 02:54:29.890000,2.1021699295e+08,3.4995017839e-04
229,2017-01-04 03:00:00.316000,2.1021693684e+08,3.6290016196e-04
230,2017-01-04 03:05:31.208000,2.1021686891e+08,3.1700323450e-04
231,2017-01-04 03:11:01.558000,2.1021687461e+08,3.9398594679e-04
232,2017-01-04 03:16:31.990000,2.1021654370e+08,3.7556029659e-04
233,2017-01-04 03:22:02.969000,2.1021675858e+08,3.1681361701e-04
234,2017-01-04 03:27:33.315000,2.1021686158e+08,3.6914222527e-04
235,2017-01-04 03:33:05.501000,2.1021696100e+08,2.7678278633e-04
236,2017-01-04 03:38:35.625000,2.1021698801e+08,3.9040460365e-04
237,2017-01-04 03:44:05.861000,2.1021685399e+08,3.5553310114e-04
238,2017-01-04 03:49:37.993000,2.1021665595e+08,4.5041900468e-04
239,2017-01-04 03:55:08.145000,2.1021643921e+08,4.6545802739e-04
240,2017-01-04 04:00:38.422000,2.1021679529e+08,3.1899517758e-04
241,2017-01-04 04:06:10.815000,2.1021665035e+08,3.7881059009e-04
242,2017-01-04 04:11:41.152000,2.1021689242e+08,2.9179154434e-04
243,2017-01-04 04:17:11.537000,2.1021724267e+08,3.9213447250e-04
244,2017-01-04 04:22:43.929000,2.1021628459e+08,3.8626022195e-04
245,2017-01-04 04:28:14.085000,2.1021636101e+08,3.7215879445e-04
246,2017-01-04 04:33:44.361000,2.1021615615e+08,2.7703823510e-04
247,2017-01-04 04:39:14.689000,2.1021656943e+08,4.3304958467e-04
248,2017-01-04 04:44:45.831000,2.1021693548e+08,3.7908633834e-04
249,2017-01-04 04:50:16.084000,2.1021713949e+08,3.4313463564e-04
250,2017-01-04 04:55:46.505000,2.1021696332e+08,3.3738414651e-04
251,2017-01-04 05:01:17.456000,2.1021685623e+08,4.1342145449e-04
252,2017-01-04 05:06:47.791000,2.1021664666e+08,3.2492471148e-04
253,2017-01-04 05:12:18.238000,2.1021613136e+08,3.1812293561e-04
254,2017-01-04 05:17:48.771000,2.1021642818e+08,3.7698900862e-04
255,2017-01-04 05:23:19.180000,2.1021619956e+08,3.8674212397e-04
256,2017-01-04 05:28:49.742000,2.1021643369e+08,3.8058523404e-04
257,2017-01-04 05:34:20.311000,2.1021646499e+08,3.5201757969e-04
258,2017-01-04 05:39:50.749000,2.1021651647e+08,4.1136840959e-04
259,2017-01-04 05:45:21.139000,2.1021638945e+08,3.8251862886e-04
260,2017-01-04 05:50:51.791000,2.1021648262e+08,3.4702844153e-04
261,2017-01-04 05:56:22.243000,2.1021637090e+08,4.1718656935e-04
262,2017-01-04 06:01:52.776000,2.1021694358e+08,3.7009321005e-04
263,2017-01-04 06:07:23.381000,2.1021707808e+08,3.2643130687e-04
264,2017-01-04 06:12:53.887000,2.1021646194e+08,4.0844501994e-04
265,2017-01-04 06:18:24.357000,2.1021651356e+08,4.2954724857e-04
266,2017-01-04 06:23:54.872000,2.1021656526e+08,3.8143320972e-04
267,2017-01-04 06:29:25.371000,2.1021642005e+08,3.1929834136e-04
268,2017-01-04 06:34:55.823000,2.1021645704e+08,3.4952247922e-04
269,2017-01-04 06:40:26.299000,2.1021656377e+08,3.7045229932e-04
270,2017-01-04 06:45:56.819000,2.1021686293e+08,4.3405015664e-04
271,2017-01-04 06:51:27.337000,2.1021646159e+08,3.1402057898e-04
272,2017-01-04 06:56:57.759000,2.1021687073e+08,3.1690927969e-04
273,2017-01-04 07:02:28.242000,2.1021666168e+08,3.5738777031e-04
274,2017-01-04 07:07:58.730000,2.1021688472e+08,3.4574970271e-04
275,2017-01-04 07:13:29.171000,2.1021659488e+08,3.6356416754e-04
276,2017-01-04 07:18:59.648000,2.1021660658e+08,4.8516791435e-04
277,2017-01-04 07:24:30.045000,2.1021681484e+08,4.0059566387e-04
278,2017-01-04 07:30:00.562000,2.1021671350e+08,3.8024477441e-04
279,2017-01-04 07:35:31.026000,2.1021681199e+08,3.6874782625e-04
280,2017-01-04 07:41:01.499000,2.1021648545e+08,3.4254224338e-04
281,2017-01-04 07:46:31.987000,2.1021651689e+08,2.8121979043e-04
